t,T,P,H,I
119095,23.26086511811627,944.2986523058065,79.69604570150908,0.348
116272,22.70941461415532,944.3202229041883,80.35988855025931,0.42
116093,22.674472589353627,944.3362594962571,79.84070189069391,0.632
115917,22.640165887476996,944.3366592806649,79.01379117224064,0.376
115924,22.64143650582855,944.3486615976468,79.52166265057348,0.336
115972,22.650966144045015,944.3167046451786,79.86350489260303,0.596
116103,22.67637851762447,944.3326310044167,80.75889327497607,0.376
116155,22.68654346909352,944.3117791195567,82.08847397045272,0.524
115683,22.594423638935496,944.3693297507815,78.89235602202906,0.524
115735,22.60458858101856,944.341874797311,80.40593219337174,0.42
115494,22.55757573364326,944.352621863984,79.45822353733644,0.5
115384,22.535975244549718,944.3264264578784,79.38964176016925,0.584
115501,22.558846350812473,944.354709424303,79.0643133162838,0.592
115224,22.504845137162192,944.341492726457,78.85503116331257,0.564
115088,22.478162196663106,944.3273662498711,79.81665788746027,0.36
